no,모델명,연월,연식,연료,인승,최대출력(마력),기통,최대토크(kgm),구동방식,자동수동,국산/수입,신차가(만원),가격(만원),주행거리
0,기아 더 뉴 K7 2.4 GDI 프레스티지 스페셜,12/12(13년형),2013.0,가솔린,,201.0,4.0,25.5,FF,,국산,3141.0,1870.0,40000
1,현대 YF쏘나타 2.0 Y20 LPi 프리미어,10/03,2010.0,LPG,,157.0,,20.0,FF,,국산,,700.0,90000
2,현대 그랜져HG 220 디젤 프리미엄,14/09(15년형),2015.0,디젤,,202.0,4.0,45.0,FF,,국산,3389.0,2990.0,30000
3,쌍용 뉴카이런 2.0 LV5 2WD 고급형,07/06(08년형),2008.0,디젤,,151.0,4.0,33.8,FR,,국산,2499.0,420.0,160000
4,현대 뉴스타렉스 점보 밴 TCI 3인승 GX 윈도우밴 일반형,04/03,2004.0,디젤,3.0,103.0,,24.0,FR,수동,국산,1445.0,450.0,160000
5,현대 그랜져TG Q270 LPI 장애인용,06/01,2006.0,LPG,,165.0,,25.0,FF,,국산,24120.0,550.0,230000
6,기아 오피러스 프리미엄 GH270 스페셜 럭셔리,11/09,2011.0,가솔린,,195.0,6.0,25.6,FF,,국산,3927.0,1390.0,50000
7,기아 K7 VG350 노블레스 프리미엄,10/02,2010.0,가솔린,,290.0,6.0,34.5,FF,,국산,4130.0,1530.0,100000
8,현대 제네시스 쿠페 200 터보 P,08/11(09년형),2009.0,가솔린,,210.0,4.0,30.5,FR,,국산,2641.0,490.0,140000
9,GM대우 뉴 다마스 코치 5인승 슈퍼,13/03,2013.0,LPG,5.0,43.0,4.0,6.7,FF,수동,국산,930.0,630.0,20000
10,현대 엑센트 1.6 VGT 모던,14/11(15년형),2015.0,디젤,,136.0,4.0,30.6,FF,,국산,1796.0,600.0,140000
11,기아 올 뉴 카니발 하이리무진 2.2 디젤 9人 프레스티지,15/04(16년형),2016.0,디젤,,202.0,4.0,45.0,FF,,국산,4985.0,5200.0,10000
12,현대 그랜져IG 3.0 LPi 익스클루시브,17/01,2017.0,LPG,,235.0,6.0,28.6,FF,,국산,3295.0,1890.0,90000
13,르노삼성 뉴 SM3 LE20,10/11(11년형),2011.0,가솔린,,141.0,4.0,19.8,FF,,국산,1860.0,550.0,90000
14,현대 더 뉴 아반떼 1.6 GDi 텐 밀리언 리미티드,15/04,2015.0,가솔린,,140.0,4.0,16.9,FF,,국산,2005.0,1850.0,60000
15,기아 봉고 프론티어 1톤 초장축 더블캡,02/06,2002.0,디젤,5.0,,,,FR,수동,국산,,650.0,70000
16,현대 아반떼AD 1.6 T-GDi 스포츠 M/T,16/06(17년형),2017.0,가솔린,5.0,204.0,4.0,26.9,FF,수동,국산,1965.0,1450.0,60000
17,기아 더 뉴 스포티지R 2.0 디젤 2WD 에이스,15/07(16년형),2016.0,디젤,,184.0,4.0,41.0,FF,,국산,2470.0,1690.0,60000
