모델명,연식,최대출력(마력),기통,최대토크(kgm),신차가(만원),가격(만원),주행거리,구동방식
기아 더 뉴 K7 2.4 GDI 프레스티지 스페셜,2013.0,201.0,4.0,25.5,3141.0,1870.0,40000,0
현대 그랜져HG 220 디젤 프리미엄,2015.0,202.0,4.0,45.0,3389.0,2990.0,30000,0
쌍용 뉴카이런 2.0 LV5 2WD 고급형,2008.0,151.0,4.0,33.8,2499.0,420.0,160000,1
기아 오피러스 프리미엄 GH270 스페셜 럭셔리,2011.0,195.0,6.0,25.6,3927.0,1390.0,50000,0
기아 K7 VG350 노블레스 프리미엄,2010.0,290.0,6.0,34.5,4130.0,1530.0,100000,0
현대 제네시스 쿠페 200 터보 P,2009.0,210.0,4.0,30.5,2641.0,490.0,140000,1
GM대우 뉴 다마스 코치 5인승 슈퍼,2013.0,43.0,4.0,6.7,930.0,630.0,20000,0
현대 엑센트 1.6 VGT 모던,2015.0,136.0,4.0,30.6,1796.0,600.0,140000,0
기아 올 뉴 카니발 하이리무진 2.2 디젤 9人 프레스티지,2016.0,202.0,4.0,45.0,4985.0,5200.0,10000,0
현대 그랜져IG 3.0 LPi 익스클루시브,2017.0,235.0,6.0,28.6,3295.0,1890.0,90000,0
르노삼성 뉴 SM3 LE20,2011.0,141.0,4.0,19.8,1860.0,550.0,90000,0
현대 더 뉴 아반떼 1.6 GDi 텐 밀리언 리미티드,2015.0,140.0,4.0,16.9,2005.0,1850.0,60000,0
현대 아반떼AD 1.6 T-GDi 스포츠 M/T,2017.0,204.0,4.0,26.9,1965.0,1450.0,60000,0
기아 더 뉴 스포티지R 2.0 디젤 2WD 에이스,2016.0,184.0,4.0,41.0,2470.0,1690.0,60000,0
기아 스포티지R 2.0 디젤 2WD TLX 프리미엄,2012.0,184.0,4.0,40.0,2615.0,750.0,160000,0
쌍용 체어맨H 뉴 클래식 500S 최고급형,2012.0,200.0,6.0,27.0,4195.0,1580.0,70000,1
현대 엑센트 1.6 VGT 모던,2016.0,136.0,4.0,30.6,1796.0,990.0,60000,0
기아 K9 3.8 GDI VIP,2014.0,334.0,6.0,40.3,6830.0,3620.0,40000,1
현대 제네시스 쿠페 380 GT R,2009.0,303.0,6.0,36.8,3392.0,949.0,60000,1
기아 레이 1.0 가솔린 프레스티지,2014.0,78.0,3.0,9.6,1514.0,1090.0,20000,0
현대 제네시스 쿠페 380 GT R,2009.0,303.0,6.0,36.8,3392.0,760.0,130000,1
현대 싼타페 더 프라임 2.2 디젤 2WD 익스클루시브 스페셜,2016.0,202.0,4.0,45.0,3423.0,2650.0,10000,0
기아 포르테 1.6 CVVT SI,2009.0,124.0,4.0,15.9,1421.0,480.0,80000,0
현대 제네시스 쿠페 380 GT P,2009.0,303.0,6.0,36.8,3042.0,1150.0,120000,1
르노삼성 SM7 뉴 아트 LE23,2009.0,170.0,6.0,23.0,3020.0,1030.0,90000,0
현대 그랜져HG 220 디젤 모던,2016.0,202.0,4.0,45.0,3215.0,1380.0,110000,0
르노삼성 SM7 VQ35 RE,2005.0,217.0,6.0,31.9,3510.0,520.0,200000,0
현대 뉴 에쿠스 VL 500 프레스티지,2010.0,400.0,8.0,51.0,14600.0,2190.0,150000,1
현대 뉴 에쿠스 VS 380 프레스티지 VVIP팩,2012.0,334.0,6.0,40.3,10173.0,3890.0,30000,1
